,Forecast_Shipments,ConsumerPacks_plan,DealerAllowances_plan
1988-01-01,593389,464430.6666666667,232414.66666666666
1988-02-01,278584,33195.0,282471.0
1988-03-01,458862,35782.5,1504648.0
1988-04-01,407762,42516.0,279204.0
1988-05-01,464056,123128.25,304546.0
1988-06-01,401264,95618.5,330566.0
1988-07-01,430034,106621.75,376311.0
1988-08-01,284144,50755.25,115273.0
1988-09-01,572396,181937.25,1492677.0
1988-10-01,368826,63094.25,403123.0
1988-11-01,349387,65343.5,309673.0
1988-12-01,244438,46314.25,286444.0
